log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PUBLISHER_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PUBLISHER_ID,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PUBLISHER_ID,p_eu_xchan_t,vf_final_sess_2,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PBLSHR_CMPNY_NAME,prs_ams_v,ams_pblshr,pblshr_cmpny_name,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PBLSHR_CMPNY_NAME,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PBLSHR_CMPNY_NAME,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PBLSHR_CMPNY_NAME,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PBLSHR_CMPNY_NAME,p_eu_xchan_t,vf_epn,camp_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PBLSHR_CMPNY_NAME,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PBLSHR_CMPNY_NAME,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PBLSHR_CMPNY_NAME,p_eu_xchan_t,vf_final_sess_2,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_ID,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_ID,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_ID,p_eu_xchan_t,vf_epn,camp_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_ID,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_ID,p_eu_xchan_t,vf_final_sess_2,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_NAME,prs_ams_v,ams_pblshr_cmpgn,pblshr_cmpgn_name,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_NAME,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_NAME,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_NAME,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_NAME,p_eu_xchan_t,vf_epn,camp_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_NAME,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_NAME,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,CAMPAIGN_NAME,p_eu_xchan_t,vf_final_sess_2,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,custom_id,p_eu_xchan_t,vf_epn,custom_id,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,custom_id,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,custom_id,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,custom_id,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,custom_id,p_eu_xchan_t,vf_epn,camp_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,custom_id,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,custom_id,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,custom_id,p_eu_xchan_t,vf_final_sess_2,user_id,join,
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
2016-06-27,162806895250532454,,benson_column_usage,USER_ID,unica_temp,t_in_exclude,user_id,select,
2016-06-27,162806895250532454,,benson_column_usage,USER_ID,unica_temp,t_in_exclude,seg,where,
2016-06-27,162806895250532454,,benson_column_usage,USER_ID,unica_temp,t_in_exclude,idate,where,
2016-06-27,162806895250532454,,benson_column_usage,USER_ID,unica_temp,t_in_exclude,mail,where,
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
2016-06-27,161176895250556611,P_CLSFD_T,CAS_AD_DLY_TOT,EVENT_DT,,hist_agg,event_dt,select,
2016-06-27,161176895250556611,P_CLSFD_T,CAS_AD_DLY_TOT,USER_TYPE,,hist_agg,user_type,select,
2016-06-27,161176895250556611,P_CLSFD_T,CAS_AD_DLY_TOT,CLSFD_SITE_ID,,hist_agg,clsfd_site_id,select,
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,EVENT_DT,,email_campaigns,cmpgn_sent_dt,select,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,EVENT_DT,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,EVENT_DT,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,EVENT_DT,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,EVENT_DT,,email_campaigns,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,EVENT_DT,,dw_ecare_cmc_rcncy_summ,rcncy_id,where,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,year_id,,dw_cal_dt,year_id,select,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,year_id,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,year_id,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,year_id,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,year_id,,email_campaigns,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,year_id,,dw_ecare_cmc_rcncy_summ,rcncy_id,where,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,month_id,,dw_cal_dt,month_id,select,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,month_id,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,month_id,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,month_id,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,month_id,,email_campaigns,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,month_id,,dw_ecare_cmc_rcncy_summ,rcncy_id,where,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_ID,,email_campaigns,cmc_id,select,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_ID,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_ID,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_ID,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_ID,,email_campaigns,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_ID,,dw_ecare_cmc_rcncy_summ,rcncy_id,where,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_NAME,,email_campaigns,cmc_name,select,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_NAME,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_NAME,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_NAME,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_NAME,,email_campaigns,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,CAMPAIGN_NAME,,dw_ecare_cmc_rcncy_summ,rcncy_id,where,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,instnc_id,,email_campaigns,instnc_id,select,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,instnc_id,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,instnc_id,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,instnc_id,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,instnc_id,,email_campaigns,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,instnc_id,,dw_ecare_cmc_rcncy_summ,rcncy_id,where,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,trking_id,,email_campaigns,trking_id,select,
